               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.064095,            0.022608,                   0,             0.41276,             0.54717,             0.47351,             0.14182,            0.055221,             0.01883,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.062778,            0.022488,                   0,             0.46511,             0.67925,             0.58538,             0.23973,              0.0557,            0.017426,                   0,            0.005743,            0.005743,            0.005743
                 131,             0.06164,            0.022217,                   0,             0.54191,             0.66038,             0.64478,             0.23352,            0.054284,            0.017429,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.060762,            0.021487,                   0,             0.58656,             0.60377,             0.59592,             0.23021,            0.055061,            0.017312,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.059763,            0.021691,                   0,             0.59106,             0.54717,             0.57325,             0.21664,            0.053443,            0.017496,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.065017,            0.020232,                   0,             0.44837,             0.60377,             0.49514,             0.18352,            0.055393,            0.017997,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.058531,            0.020617,                   0,             0.58136,             0.60377,             0.57198,             0.23695,            0.054534,            0.017563,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.060875,            0.022859,                   0,             0.58542,             0.60377,             0.58213,             0.23474,            0.057219,            0.017584,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.061109,             0.02285,                   0,             0.41214,             0.62264,             0.47867,             0.17293,            0.056002,            0.017426,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.060901,            0.019581,                   0,             0.54224,             0.49171,             0.51021,             0.20275,            0.054909,             0.01866,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.062703,            0.022498,                   0,             0.55133,             0.58491,             0.54473,              0.1927,            0.056301,            0.017704,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.061479,            0.022165,                   0,              0.6583,             0.50943,             0.59966,             0.23346,            0.054189,            0.017466,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.062272,            0.020311,                   0,             0.57494,             0.45283,              0.5642,             0.23738,            0.054078,            0.017473,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.062502,            0.019998,                   0,             0.44852,             0.53716,             0.43076,             0.11688,            0.058369,            0.019473,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.061689,            0.023263,                   0,             0.49682,             0.50308,                0.52,             0.21422,            0.058461,             0.01788,                   0,            0.005314,            0.005314,            0.005314
                 144,             0.06098,            0.023364,                   0,             0.55985,             0.58491,              0.6164,               0.263,            0.053959,            0.017419,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.059329,            0.022519,                   0,             0.48174,             0.64151,             0.56815,             0.22003,            0.052402,            0.016529,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.061119,            0.022095,                   0,             0.50129,             0.66038,             0.56913,             0.22991,            0.052793,            0.016544,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.058689,            0.020449,                   0,             0.56849,             0.59665,             0.62301,             0.22268,            0.054436,            0.016879,                   0,            0.005182,            0.005182,            0.005182
                 148,             0.06115,            0.023056,                   0,             0.59776,             0.58491,             0.57104,             0.20666,             0.05594,            0.016941,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.059124,             0.02528,                   0,              0.5977,             0.58491,             0.59465,             0.22644,            0.054181,            0.016981,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.059622,            0.021109,                   0,             0.57526,              0.5283,             0.58562,             0.22435,            0.053045,            0.017225,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.057697,            0.022307,                   0,             0.57101,             0.60377,             0.65021,             0.23943,             0.05051,            0.017198,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.061188,            0.024729,                   0,             0.59518,             0.62264,             0.66823,             0.22967,            0.052011,            0.016967,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.058958,             0.02226,                   0,             0.46176,             0.64151,             0.56804,             0.17125,            0.054678,            0.018357,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.058374,            0.022412,                   0,             0.58831,              0.5662,             0.53941,             0.21414,            0.057762,            0.020783,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.060796,            0.024888,                   0,             0.73613,              0.5791,             0.65399,              0.2363,            0.054748,            0.018077,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.060392,            0.022776,                   0,             0.70886,             0.62264,             0.64224,             0.23088,            0.054256,            0.016941,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.059261,            0.022821,                   0,             0.75225,             0.57301,             0.71955,             0.25257,            0.050466,             0.01671,                   0,            0.004852,            0.004852,            0.004852
                 158,             0.05611,            0.020806,                   0,             0.71962,             0.53277,             0.69537,             0.26987,            0.049186,            0.016378,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.061405,            0.021453,                   0,             0.64244,             0.71198,             0.68493,             0.24406,            0.052274,            0.016503,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.059739,            0.022352,                   0,             0.67519,             0.64151,             0.67753,             0.24522,            0.052174,            0.016504,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.060161,            0.022305,                   0,             0.59783,             0.67925,             0.64744,             0.21395,            0.053049,             0.01605,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.060229,            0.020293,                   0,             0.65969,             0.71698,             0.70782,             0.24809,            0.049991,            0.016122,                   0,            0.004687,            0.004687,            0.004687
                 163,             0.05686,            0.021757,                   0,             0.82685,             0.63083,             0.76238,             0.27114,            0.049902,            0.016196,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.058754,            0.022367,                   0,              0.6876,             0.64151,              0.7256,             0.26968,            0.050277,            0.016633,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.057507,            0.021942,                   0,             0.53197,             0.64151,             0.57775,             0.21275,            0.053049,            0.016862,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.059615,            0.022462,                   0,             0.45543,             0.56604,             0.48634,              0.1873,            0.055308,            0.018461,                   0,            0.004555,            0.004555,            0.004555
                 167,             0.06091,            0.020174,                   0,             0.55292,             0.56011,             0.54009,             0.20128,            0.053008,            0.018293,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.058912,            0.021537,                   0,             0.69525,             0.60264,             0.69433,             0.23775,            0.050328,            0.016436,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.058943,            0.023551,                   0,             0.70814,             0.58491,             0.72014,             0.25299,            0.049052,            0.016253,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.058109,            0.020159,                   0,             0.62783,             0.67925,             0.69219,             0.25736,            0.051156,            0.015913,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.055778,            0.019928,                   0,             0.68529,             0.58491,             0.71788,             0.27995,            0.050508,            0.015893,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.061496,            0.019985,                   0,             0.62925,             0.62264,             0.59089,             0.18712,            0.056005,            0.016476,                   0,            0.004357,            0.004357,            0.004357
